platform,title,company,location,link,posted,first_seen
LinkedIn,Data Analyst,Arcgate,"Udaipur, Rajasthan, India",https://in.linkedin.com/jobs/view/data-analyst-at-arcgate-4220217890,2025-05-02,2026-07-04T13:06:16
LinkedIn,Data Analyst,ARC Gate Private Limited,"Ajmer, Rajasthan, India",https://in.linkedin.com/jobs/view/data-analyst-at-arc-gate-private-limited-4433646996,2026-06-29,2026-07-04T13:06:16
LinkedIn,Trainee RWD Software Engineer,Gallagher,"Chandigarh, Chandigarh, India",https://in.linkedin.com/jobs/view/trainee-rwd-software-engineer-at-gallagher-4151673062,2026-06-26,2026-07-04T13:06:16
LinkedIn,Data Scientist,Lingaro,India,https://in.linkedin.com/jobs/view/data-scientist-at-lingaro-4426911742,2026-06-12,2026-07-04T13:06:16
LinkedIn,Senior Data Scientist I,Nielsen,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/senior-data-scientist-i-at-nielsen-4418788933,2026-07-03,2026-07-04T13:06:16
LinkedIn,Intern - AI-Native Software Engineering,Chegg India,"Delhi, Delhi, India",https://in.linkedin.com/jobs/view/intern-ai-native-software-engineering-at-chegg-india-4429034421,2026-06-18,2026-07-04T13:06:16
LinkedIn,Data Scientist,SLB,"Pune Division, Maharashtra, India",https://in.linkedin.com/jobs/view/data-scientist-at-slb-4427853377,2026-06-18,2026-07-04T13:06:16
LinkedIn,Data Scientist,Colgate-Palmolive,Mumbai Metropolitan Region,https://in.linkedin.com/jobs/view/data-scientist-at-colgate-palmolive-4417050826,2026-07-01,2026-07-04T13:06:16
LinkedIn,Associate Data Scientist - Enterprise & Reporting,Circle K,"Gurugram, Haryana, India",https://in.linkedin.com/jobs/view/associate-data-scientist-enterprise-reporting-at-circle-k-4395998184,2026-07-04,2026-07-04T13:06:16
LinkedIn,Data Scientist,TEKsystems Global Services in India,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-scientist-at-teksystems-global-services-in-india-4401719300,2026-06-11,2026-07-04T13:06:16
LinkedIn,Data Science Intern,BNP Paribas,Mumbai Metropolitan Region,https://in.linkedin.com/jobs/view/data-science-intern-at-bnp-paribas-4436910676,2026-07-04,2026-07-04T13:06:16
